cod_cnpm|cod_cim|obs|den_produs|forma|concentr|firma|dci|ambalaj|grupa|pret_prod|pret_rid|pret_am|statut_frm|statut_anm|stare
ALZEGI0085|W54224004||ALZEPIL 10mg|COMPR. FILM.|10mg|EGIS PHARMACEUTICALS PLC - UNGARIA|DONEPEZILUM|Cutie x blistere OPA-Al-PVC/Al x 56 comprimate filmate (2 ani)|N06DA02|153.6|168.96|206.27|MG|generic|
ALZEGI0019|W54223001||ALZEPIL 5mg|COMPR. FILM.|5mg|EGIS PHARMACEUTICALS PLC - UNGARIA|DONEPEZILUM|Cutie x blistere PVC-PVDC/Al x 28 comprimate filmate (2 ani)|N06DA02|75.0|84.0|106.21|MG|generic|
ALZEGI0027|W54223003||ALZEPIL 5mg|COMPR. FILM.|5mg|EGIS PHARMACEUTICALS PLC - UNGARIA|DONEPEZILUM|Cutie x blistere OPA-Al-PVC/Al x 28 comprimate filmate (2 ani)|N06DA02|75.0|84.0|106.21|MG|generic|
ALZEGI0035|W54223002||ALZEPIL 5mg|COMPR. FILM.|5mg|EGIS PHARMACEUTICALS PLC - UNGARIA|DONEPEZILUM|Cutie x blistere PVC-PVDC/Al x 56 comprimate filmate (2 ani)|N06DA02|150.0|165.0|201.43|MG|generic|
ALZEGI0043|W54223004||ALZEPIL 5mg|COMPR. FILM.|5mg|EGIS PHARMACEUTICALS PLC - UNGARIA|DONEPEZILUM|Cutie x blistere OPA-Al-PVC/Al x 56 comprimate filmate (2 ani)|N06DA02|150.0|165.0|201.43|MG|generic|
AMAHOE0012|W57489005||AMARYL 1mg|COMPR.|1mg|SANOFI - AVENTIS ROMANIA SRL - ROMANIA|GLIMEPIRIDUM|Cutie cu blistere PVC/Al x 30 comprimate (3 ani)|A10BB12|3.19|3.64|4.92|MP|inovativ|
AMAHOE0020|W57490004||AMARYL 2mg|COMPR.|2mg|SANOFI - AVENTIS ROMANIA SRL - ROMANIA|GLIMEPIRIDUM|Cutie cu blistere PVC/Al x 30 comprimate (3 ani)|A10BB12|5.35|6.1|8.24|MP|inovativ|
AMAHOE0038|W57492004||AMARYL 3mg|COMPR.|3mg|SANOFI - AVENTIS ROMANIA SRL - ROMANIA|GLIMEPIRIDUM|Cutie cu blistere PVC/Al x 30 comprimate (3 ani)|A10BB12|9.92|11.31|15.28|MP|inovativ|
AMAAVE0013|W57494004||AMARYL 4mg|COMPR.|4mg|SANOFI - AVENTIS ROMANIA SRL - ROMANIA|GLIMEPIRIDUM|Cutie cu blistere PVC/Al x 30 comprimate (3 ani)|A10BB12|10.18|11.61|15.69|MP|inovativ|
AMASAN0011|W57495004||AMARYL 6mg|COMPR.|6mg|SANOFI - AVENTIS ROMANIA SRL - ROMANIA|GLIMEPIRIDUM|Cutie cu blistere PVC/Al x 30 comprimate (3 ani)|A10BB12|16.74|19.08|25.79|MP|inovativ|
AMIMED0013|W56940007||AMICOR 10mg|COMPR. FILM.|10mg|MEDOCHEMIE LTD - CIPRU|ATORVASTATINUM|Cutie x blistere Al/Al x 30 comprimate filmate (2 ani)|C10AA05|11.93|13.6|18.38|MG|generic|
AMIMED0021|W56941007||AMICOR 20mg|COMPR. FILM.|20mg|MEDOCHEMIE LTD - CIPRU|ATORVASTATINUM|Cutie x blistere Al/Al x 30 comprimate filmate (2 ani)|C10AA05|17.46|19.9|26.9|MG|generic|
AMIMED0039|W56942004||AMICOR 40mg|COMPR. FILM.|40mg|MEDOCHEMIE LTD - CIPRU|ATORVASTATINUM|Cutie x blistere Al/Al x 14 comprimate filmate (2 ani)|C10AA05|18.55|21.15|28.58|MG|generic|
AMIMED0047|W56942007||AMICOR 40mg|COMPR. FILM.|40mg|MEDOCHEMIE LTD - CIPRU|ATORVASTATINUM|Cutie x blistere Al/Al x 30 comprimate filmate (2 ani)|C10AA05|39.74|45.31|59.26|MG|generic|
AMIZEN0024|W53277001||AMIKOZIT®  500mg/2ml|SOL. INJ.|500mg/2ml|ZENTIVA SA - ROMANIA|AMIKACINUM|Cutie x 1 flacon din sticla x 2ml (3 ani)|J01GB06|4.52|5.15|6.96|MG|generic|
AMIARE0077|W53945002||AMINOFILINA ARENA 100mg|COMPR.|100mg|ARENA GROUP SA - ROMANIA|AMINOPHYLLINUM|Cutie x 4 blistere PVC/Al x 10 comprimate (3 ani)|R03DA05|4.51|5.14|6.95|MG|generic|
AMIARE0051|W53946002||AMINOFILINA ARENA 200mg|COMPR.|200mg|ARENA GROUP SA - ROMANIA|AMINOPHYLLINUM|Cutie x 2 blistere PVC/Al x 10 comprimate( 3 ani)|R03DA05|5.01|5.71|7.72|MG|generic|
AMIBIO0014|W42330001||AMINOFILINA EEL|COMPR.|100mg|BIO EEL SRL - ROMANIA|AMINOPHYLLINUM|Cutie x 2 blistere din PVC/Al x 25 comprimate (2 ani)|R03DA05|4.4|5.02|6.78|MG|generic|
AMIFRE0327|W43229005||AMINOMIX 1 NOVUM|SOL. PERF.||FRESENIUS KABI DEUTSCHLAND GMBH - GERMANIA|COMBINATII|Cutie x 4 pungi bicamerale Biofine x 1500 ml solutie perfuzabila (2 ani)|B05BA10|294.64|324.1|391.42|MI|inovativ|
AMIFRE0343|W43230005||AMINOMIX 2 NOVUM|SOL. PERF.||FRESENIUS KABI DEUTSCHLAND GMBH - GERMANIA|COMBINATII|Cutie x 4 pungi bicamerale Biofine x 1500 ml solutie perfuzabila (2 ani)|B05BA10|294.64|324.1|391.42|MI|inovativ|
AMIBBR0080|W57493001||AMINOPLASMAL 100g/l|SOL. PERF.|100g/l|B. BRAUN MELSUNGEN AG - GERMANIA|COMBINATII|Cutie x 10 flacoane din sticla incolora x 500ml solutie perfuzabila (3 ani)|B05BA01|192.99|212.29|259.16|MI|inovativ|
AMIBBR0101|W57491002||AMINOPLASMAL 100g/l E|SOL. PERF.|100g/l|B. BRAUN MELSUNGEN AG - GERMANIA|COMBINATII|Cutie x 10 flacoane din sticla incolora x 500ml solutie perfuzabila (3 ani)|B05BA01|183.18|201.5|245.99|MI|inovativ|
AMIBBR0098|W57496002||AMINOPLASMAL 50g/lE|SOL. PERF.|50g/l|B. BRAUN MELSUNGEN AG - GERMANIA|COMBINATII|Cutie x 10 flacoane din sticla incolora x 500ml solutie perfuzabila (3 ani)|B05BA01|138.46|152.31|185.94|MI|inovativ|
AMIBBR0119|W60210001||AMINOPLASMAL PEDIATRIC 100mg/ml|SOL. PERF.|100mg/ml|B. BRAUN MELSUNGEN AG - GERMANIA|COMBINATII|Cutie x 12 pungi din plastic x 100ml solutie perfuzabila (2 ani dupa amb. pt. comercializare;dupa prima deschidere- se utiliz. imediat)|B05BA01|582.26|612.26|705.51|MI|inovativ|
AMIBBR0127|W60210002||AMINOPLASMAL PEDIATRIC 100mg/ml|SOL. PERF.|100mg/ml|B. BRAUN MELSUNGEN AG - GERMANIA|COMBINATII|Cutie x 12 pungi din plastic x 250ml solutie perfuzabila (2 ani dupa amb. pt. comercializare, dupa prima deschidere- se utilizeaza imediat)|B05BA01|858.82|888.82|1006.96|MI|inovativ|
AMIBBR0048|W01742002||AMINOPLASMAL®  HEPA 10%|SOL. PERF.|10%|B. BRAUN MELSUNGEN AG - GERMANIA|COMBINATII (AMINOACIZI)|Cutie x 10 flacoane x 500ml solutie perfuzabila (3 ani)|B05BA01|247.71|272.48|332.64|MP|inovativ|
AMIFRE0127|W01756001||AMINOSTERIL N-HEPA 8%|SOL. PERF.|8%|FRESENIUS KABI - GERMANIA|COMBINATII (AMINOACIZI)|Cutie x 10 flacoane x 500ml; (3 ani)|B05BA01|261.56|287.71|351.24|MP|inovativ|
AMIFRE0135|W12459002||AMINOVEN 10%|SOL. PERF.|10%|FRESENIUS KABI AB - SUEDIA|COMBINATII (AMINOACIZI)|Cutie x 10 flacoane x 500ml; (2 ani)|B05BA01|213.0|234.3|286.03|MP|inovativ|
AMIFRE0151|W12458001||AMINOVEN 5%|SOL. PERF.|5%|FRESENIUS KABI AB - SUEDIA|COMBINATII (AMINOACIZI)|Cutie x 10 flacoane x 500ml; (2 ani)|B05BA01|131.42|144.56|176.48|MP|inovativ|
AMIFRE0351|W57927001||AMINOVEN INFANT 100g/l|SOL. PERF.|100g/l|FRESENIUS KABI AB - SUEDIA|COMBINATII|Cutie x 10 flacoane din sticla incolora x 100ml solutie perfuzabila (2 ani)|B05BA01|173.75|191.13|233.33|MI|inovativ|
AMIARE0035|W53954002||AMIODARONA ARENA 200mg|COMPR.|200mg|ARENA GROUP SA - ROMANIA|AMIODARONUM|Cutie x 3 blistere PVC/Al x 10 comprimate (2 ani)|C01BD01|4.76|5.42|7.33|MG|generic|
AMILAB0022|W00311002||AMIODARONA LPH®  200mg|COMPR.|200mg|LABORMED PHARMA SA - ROMANIA|AMIODARONUM|Cutie x 3 blistere x 10 comprimate (3 ani)|C01BD01|5.85|6.67|9.01|MG|generic|
AMICNU0011|W59620001||AMIOKORDIN 150mg/3ml|SOL. INJ.|150mg/3ml|CN UNIFARM SA - ROMANIA|AMIODARONUM|Cutie x 5 fiole x 3ml solutie injectabila|C01BD01|12.0|13.68|18.49|||N
AMIPRO0014|W54640002||AMISAN 200mg|COMPR.|200mg|PRO. MED. CS PRAHA AS - REPUBLICA CEHA|AMISULPRIDUM|Cutie x blistere PVC/Al x 30 comprimate (3 ani)|N05AL05|33.41|38.09|49.82|MG|generic|
AMILAB0048|W55404001||AMISULPRIDA LPH 200mg|COMPR.|200mg|LABORMED PHARMA SA - ROMANIA|AMISULPRIDUM|Cutie x 3 blistere PVC/Al x 10 comprimate (2 ani)|N05AL05|33.41|38.09|49.82|MG|generic|
AMIARE0069|W52017001||AMITRIPTILINA ARENA 25mg|COMPR. FILM.|25mg|ARENA GROUP SA - ROMANIA|AMITRIPTYLINUM|Cutie x 5 blistere PVC/Al x 10 comprimate filmate (2 ani)|N06AA09|9.74|11.11|15.01|MG|generic|
AMLKRK0020|W57913007||AMLESSA 4mg/10mg|COMPR.|4mg/10mg|KRKA D.D. NOVO MESTO - SLOVENIA|COMBINATII (PERINDOPRILUM + AMLODIPINUM)|Cutie x blistere OPA-Al-PVC/Al x 30 comprimate (2 ani)|C09BB04|13.73|15.66|21.16|MG|generic|
AMLKRK0012|W57912007||AMLESSA 4mg/5mg|COMPR.|4mg/5mg|KRKA D.D. NOVO MESTO - SLOVENIA|COMBINATII (PERINDOPRILUM + AMLODIPINUM)|Cutie x blistere OPA-Al-PVC/Al x 30 comprimate (2 ani)|C09BB04|12.5|14.25|19.26|MG|generic|
AMLKRK0046|W57915007||AMLESSA 8mg/10mg|COMPR.|8mg/10mg|KRKA D.D. NOVO MESTO - SLOVENIA|COMBINATII (PERINDOPRILUM + AMLODIPINUM)|Cutie x blistere OPA-Al-PVC/Al x 30 comprimate (2 ani)|C09BB04|23.76|27.09|35.43|MG|generic|
AMLKRK0038|W57914007||AMLESSA 8mg/5mg|COMPR.|8mg/5mg|KRKA D.D. NOVO MESTO - SLOVENIA|COMBINATII (PERINDOPRILUM + AMLODIPINUM)|Cutie x blistere OPA-Al-PVC/Al x 30 comprimate (2 ani)|C09BB04|21.75|24.79|33.51|MG|generic|
AMLVIM0043|W53664002||AMLODIPIN VIM SPECTRUM 10mg|COMPR.|10mg|VIM SPECTRUM SRL - ROMANIA|AMLODIPINUM|Cutie x 2 blistere OPA-Al-PVC/Al x 10 comprimate (2 ani)|C08CA01|8.34|9.51|12.85|MG|generic|
AMLVIM0035|W53665002||AMLODIPIN VIM SPECTRUM 5mg|COMPR.|5mg|VIM SPECTRUM SRL - ROMANIA|AMLODIPINUM|Cutie x 2 blistere OPA-Al-PVC/Al x 10 comprimate (2 ani)|C08CA01|4.83|5.5|7.44|MG|generic|
AMLACT0024|W58962002||AMLODIPINA ACTAVIS 10mg|COMPR.|10mg|ACTAVIS GROUP PTC EHF - ISLANDA|AMLODIPINUM|Cutie x blistere PVC-PVDC/Al x 20 comprimate (2 ani)|C08CA01|8.34|9.51|12.85|MG|generic|
AMLACT0016|W58961002||AMLODIPINA ACTAVIS 5mg|COMPR.|5mg|ACTAVIS GROUP PTC EHF - ISLANDA|AMLODIPINUM|Cutie x blistere PVC-PVDC/Al x 20 comprimate (2 ani)|C08CA01|4.92|5.61|7.58|MG|generic|
AMLARE0032|W60373002||AMLODIPINA ARENA 10mg|COMPR.|10mg|ARENA GROUP SA - ROMANIA|AMLODIPINUM|Cutie x 3 blistere PVC-PVDC/Al x 10 comprimate (4 ani)|C08CA01|12.51|14.26|19.28|MG|generic|
AMLARE0040|W60372002||AMLODIPINA ARENA 5mg|COMPR.|5mg|ARENA GROUP SA - ROMANIA|AMLODIPINUM|Cutie x 3 blistere PVC-PVDC/Al x 10 comprimate (4 ani)|C08CA01|5.12|5.84|7.89|MG|generic|
AMLAUR0024|W57802007||AMLODIPINA AUROBINDO 10mg|COMPR.|10mg|AUROBINDO PHARMA (MALTA) LIMITED - MALTA|AMLODIPINUM|Cutie x blistere PVC/PVDC-Al x 30 comprimate (3 ani)|C08CA01|4.79|5.46|7.38|MG|generic|
AMLAUR0016|W57801007||AMLODIPINA AUROBINDO 5mg|COMPR.|5mg|AUROBINDO PHARMA (MALTA) LIMITED - MALTA|AMLODIPINUM|Cutie x blistere PVC/PVDC-Al x 30 comprimate (3 ani)|C08CA01|3.41|3.88|5.25|MG|generic|
AMLHEL0021|W60290001||AMLODIPINA HELCOR 10mg|COMPR.|10mg|AC HELCOR PHARMA SRL - ROMANIA|AMLODIPINUM|Cutie x 2 blistere Al/PVC x 10 comprimate (5 ani)|C08CA01|8.35|9.52|12.87|MG|generic|
AMLHEL0013|W60289001||AMLODIPINA HELCOR 5mg|COMPR.|5mg|AC HELCOR PHARMA SRL - ROMANIA|AMLODIPINUM|Cutie x 2 blistere Al/PVC x 10 comprimate (5 ani)|C08CA01|5.6|6.39|8.63|MG|generic|
AMLLAB0045|W55742001||AMLODIPINA LPH 10mg|COMPR.|10mg|LABORMED PHARMA SA - ROMANIA|AMLODIPINUM|Cutie x 3 blistere Al/PVC x 10 comprimate (3 ani)|C08CA01|12.51|14.26|19.28|MG|generic|
AMLLAB0037|W55743001||AMLODIPINA LPH 5mg|COMPR.|5mg|LABORMED PHARMA SA - ROMANIA|AMLODIPINUM|Cutie x 3 blistere Al/PVC x 10 comprimate (3 ani)|C08CA01|7.38|8.41|11.37|MG|generic|
AMLTER0037|W57500001||AMLODIPINA TERAPIA 10mg|COMPR.|10mg|TERAPIA SA - ROMANIA|AMLODIPINUM|Cutie x 3 blistere OPA-Al-PVC/Al x 10 comprimate (2 ani)|C08CA01|12.53|14.29|19.31|MG|generic|
AMLTER0045|W57500002||AMLODIPINA TERAPIA 10mg|COMPR.|10mg|TERAPIA SA - ROMANIA|AMLODIPINUM|Cutie x 3 blistere Aclar - PVC/Al x 10 comprimate (2 ani)|C08CA01|12.53|14.29|19.31|MG|generic|
AMLTER0011|W57499001||AMLODIPINA TERAPIA 5mg|COMPR.|5mg|TERAPIA SA - ROMANIA|AMLODIPINUM|Cutie x 3 blistere OPA-Al-PVC/Al x 10 comprimate (2 ani)|C08CA01|7.02|8.01|10.82|MG|generic|
AMLTER0029|W57499002||AMLODIPINA TERAPIA 5mg|COMPR.|5mg|TERAPIA SA - ROMANIA|AMLODIPINUM|Cutie x 3 blistere Aclar-PVC/Al x 10 comprimate (2 ani)|C08CA01|7.02|8.01|10.82|MG|generic|
AMLTEV0049|W58769005||AMLODIPINA TEVA 10mg|COMPR.|10mg|TEVA PHARMACEUTICALS SRL - ROMANIA|AMLODIPINUM|Cutie x blister PVC-PVDC/Al x 30 comprimate (5 ani)|C08CA01|7.48|8.53|11.53|MG|generic|
AMLTEV0031|W58768004||AMLODIPINA TEVA 5mg|COMPR.|5mg|TEVA PHARMACEUTICALS SRL - ROMANIA|AMLODIPINUM|Cutie x blister PVC-PVDC/Al x 30 comprimate (5 ani)|C08CA01|3.74|4.26|5.76|MG|generic|
AMLZEN0021|W59686002||AMLODIPINA ZENTIVA 10mg|COMPR.|10mg|ZENTIVA KS - REPUBLICA CEHA|AMLODIPINUM|Cutie x blistere PVC-PVDC/Al x 30 comprimate (3 ani)|C08CA01|5.51|6.28|8.49|MG|generic|
AMLZEN0013|W59685002||AMLODIPINA ZENTIVA 5mg|COMPR.|5mg|ZENTIVA KS - REPUBLICA CEHA|AMLODIPINUM|Cutie x blistere PVC-PVDC/Al x 30 comprimate (3 ani)|C08CA01|2.66|3.03|4.1|MG|generic|
AMLMED0028|W52404001||AMLODIPINE MEDOCHEMIE 10mg|COMPR.|10mg|MEDOCHEMIE LTD - CIPRU|AMLODIPINUM|Cutie x 3 blistere PVC-PE-PVDC/Al x 10 comprimate (3 ani)|C08CA01|8.52|9.71|13.13|MG|generic|
AMLMED0010|W52403001||AMLODIPINE MEDOCHEMIE 5mg|COMPR.|5mg|MEDOCHEMIE LTD - CIPRU|AMLODIPINUM|Cutie x 3 blistere PVC-PE-PVDC/Al x 10 comprimate (3 ani)|C08CA01|5.07|5.78|7.81|MG|generic|
AMLHEX0023|W41513001||AMLOHEXAL 10|COMPR.|10mg|HEXAL AG - GERMANIA|AMLODIPINUM|Cutie x 3 blistere Al/PVC-COC-PVdc x 10 comprimate (36 luni)|C08CA01|12.51|14.26|19.28|MG|generic|
AMLHEX0015|W41512001||AMLOHEXAL 5|COMPR.|5mg|HEXAL AG - GERMANIA|AMLODIPINUM|Cutie x 3 blistere Al/PVC-COC-PVdc x 10 comprimate (36 luni)|C08CA01|7.38|8.41|11.37|MG|generic|
AMMSWE0013|W51437001||AMMONAPS 500mg|COMPR.|500mg|SWEDISH ORPHAN INTERNATIONAL AB - SUEDIA|NATRII PHENYLBUTYRATE|Cutie x 1 flacon din PEID x 250 comprimate (2 ani)|A16AX03|2682.22|2712.22|2994.47|MI|inovativ|
AMMSWE0021|W51438001||AMMONAPS 940mg/g|GRAN. ORALE|940mg/g|SWEDISH ORPHAN INTERNATIONAL AB - SUEDIA|NATRII PHENYLBUTYRATE|Cutie x 1 flacon din PEID x 266 g granule orale + 3 linguri dozatoare (2 ani)|A16AX03|4670.65|4700.65|5161.86|MI|inovativ|
AMOLEK0147|W00399001||AMOKSIKLAV 156.25mg/5ml|PULB. PT. SUSP. ORALA|156.25mg/5ml|LEK PHARMACEUTICALS D.D. - SLOVENIA|AMOXICILLINUM + ACIDUM CLAVULANICUM|Cutie x 1 flac. cu pulb. pt. 100ml susp. (2 ani)|J01CR02|7.59|8.65|11.69|MG|generic|
AMOLEK0163|W08783001||AMOKSIKLAV 2X|PULB. PT. SUSP. ORALA|400mg+57mg/5ml|LEK PHARMACEUTICALS D.D. - SLOVENIA|AMOXICILLINUM + ACIDUM CLAVULANICUM|Cutie x 1 flacon din sticla bruna cu pulbere pentru 35ml suspensie orala, inchis cu capac de PEID de culoare alba si o seringa dozatoare (2 ani)|J01CR02|4.19|4.78|6.46|MG|generic|
AMOLEK0171|W08783002||AMOKSIKLAV 2X|PULB. PT. SUSP. ORALA|400mg+57mg/5ml|LEK PHARMACEUTICALS D.D. - SLOVENIA|AMOXICILLINUM + ACIDUM CLAVULANICUM|Cutie x 1 flacon din sticla bruna cu pulbere pentru 70ml suspensie orala, inchis cu capac de PEID de culoare alba si o seringa dozatoare (2 ani)|J01CR02|8.39|9.57|12.93|MG|generic|
AMOLEK0113|W00401004||AMOKSIKLAV 2x 625mg|COMPR. FILM.|625mg|LEK PHARMACEUTICALS D.D. - SLOVENIA|AMOXICILLINUM + ACIDUM CLAVULANICUM|Cutie x 1 blist. Al/Al x 14 comprimate filmate (2 ani)|J01CR02|18.21|20.76|28.06|MG|generic|
AMOLEK0042|W00400003||AMOKSIKLAV 2x1000mg|COMPR. FILM.|1000mg|LEK PHARMACEUTICALS D.D. - SLOVENIA|AMOXICILLINUM + ACIDUM CLAVULANICUM|Cutie x 2 blist. x 7 compr.film; (2 ani)|J01CR02|26.24|29.92|39.13|MG|generic|
AMOLEK0155|W00402001||AMOKSIKLAV 312,5mg/5ml|PULB. PT. SUSP. ORALA|312.5mg/5ml|LEK PHARMACEUTICALS D.D. - SLOVENIA|AMOXICILLINUM + ACIDUM CLAVULANICUM|Cutie x 1 flacon din sticla bruna x 25g pulbere pt. 100ml suspensie reconstituita + 1 lingurita dozatoare (2 ani)|J01CR02|15.59|17.77|24.02|MG|generic|
AMOBIO0026|W51992004||AMOKSIKLAV QUICKTAB 1000mg|COMPR. PT. DISP. ORALA / ORODISP.|1000mg|BIOMEDIAL PHARMA SRL - ROMANIA|AMOXICILLINUM + ACIDUM CLAVULANICUM|Cutie x 7 blistere Al/Al x 2 comprimate pentru dispersie orala/orodispersabile (2 ani)|J01CR02|16.27|18.55|25.07|MG|generic|
AMOBIO0018|W51991002||AMOKSIKLAV QUICKTAB 625mg|COMPR. PT. DISP. ORALA / ORODISP.|625mg|BIOMEDIAL PHARMA SRL - ROMANIA|AMOXICILLINUM + ACIDUM CLAVULANICUM|Cutie x 7 blistere Al/Al x 2 comprimate pentru dispersie orala / orodispersabile (2 ani)|J01CR02|10.73|12.23|16.53|MG|generic|
AMOANT0138|W00346001||AMOXICILINA ANTIBIOTICE 250mg|CAPS.|250mg|ANTIBIOTICE SA - ROMANIA|AMOXICILLINUM|Cutie x 2 blistere Al/PVC x 10 capsule (3 ani)|J01CA04|4.5|5.13|6.93|MG|generic|
AMOANT0025|W00351001||AMOXICILINA ANTIBIOTICE 500mg|CAPS.|500mg|ANTIBIOTICE SA - ROMANIA|AMOXICILLINUM|Cutie x 1 blist. x 10 caps.; (3 ani)|J01CA04|3.8|4.34|5.86|MG|generic|
AMOARE0039|W00347002||AMOXICILINA ARENA 250mg|CAPS.|250mg|ARENA GROUP SA - ROMANIA|AMOXICILLINUM|Cutie x 100 blistere PVC/Al x 10 capsule (3 ani)|J01CA04|173.05|190.36|232.39|MG|generic|
AMOARE0055|W00347001||AMOXICILINA ARENA 250mg|CAPS.|250mg|ARENA GROUP SA - ROMANIA|AMOXICILLINUM|Cutie x 2 blistere x 10 capsule (3 ani)|J01CA04|3.86|4.4|5.95|MG|generic|
AMOARE0021|W13739001||AMOXICILINA ARENA 500mg|CAPS.|500mg|ARENA GROUP SA - ROMANIA|AMOXICILLINUM|Cutie x 2 blistere Al/PVC x 5 capsule (3 ani)|J01CA04|3.69|4.21|5.69|MG|generic|
AMOARE0047|W13739002||AMOXICILINA ARENA 500mg|CAPS.|500mg|ARENA GROUP SA - ROMANIA|AMOXICILLINUM|Cutie x 100 blistere PVC/Al x 5 capsule (3 ani)|J01CA04|97.27|108.94|133.0|MG|generic|
AMOFAR0018|W08428001||AMOXICILINA FORTE 500mg|CAPS.|500mg|FARMEX COMPANY SRL - ROMANIA|AMOXICILLINUM|Cutie x 2 blist. x 10 caps. (2 ani)|J01CA04|5.72|6.52|8.81|MG|generic|
AMOFAR0026|W08428002||AMOXICILINA FORTE 500mg|CAPS.|500mg|FARMEX COMPANY SRL - ROMANIA|AMOXICILLINUM|Cutie x 50 blist. x 10 caps. (2 ani)|J01CA04|108.57|119.43|145.8|MG|generic|
AMOFAR0050|W08428003||AMOXICILINA FORTE 500mg|CAPS.|500mg|FARMEX COMPANY SRL - ROMANIA|AMOXICILLINUM|Cutie x 1 blister x 10 capsule (2 ani)|J01CA04|3.84|4.38|5.92|MG|generic|
AMOSAN0017|W42893001||AMOXICILINA SANDOZ 125mg/5ml PULBERE PENTRU SUSPENSIE ORALA|PULB. PT. SUSP. ORALA|125mg/5ml|SANDOZ SRL - ROMANIA|AMOXICILLINUM|Cutie x 1 flac.din sticla bruna x 20g cu pulb. pt. 60ml suspensie orala+1 lingurta dozatoare; (2 ani)|J01CA04|3.72|4.24|5.73|MG|generic|
AMOSAN0033|W42903001||AMOXICILINA SANDOZ 250mg CAPSULE|CAPS.|250mg|SANDOZ SRL - ROMANIA|AMOXICILLINUM|Cutie x 2 blist. Al/PVC x 10 caps. (3 ani)|J01CA04|3.99|4.55|6.15|MG|generic|
AMOSAN0025|W42892002||AMOXICILINA SANDOZ 250mg/5ml PULBERE PENTRU SUSPENSIE ORALA|PULB. PT. SUSP. ORALA|250mg/5ml|SANDOZ SRL - ROMANIA|AMOXICILLINUM|Cutie x 1 flacon x 20g pulb. pt. 60ml susp. orala + 1 lingurita dozatoare PE, cu gradatii 1,25ml , 2,5ml, 5ml (2 ani)|J01CA04|3.17|3.61|4.88|MG|generic|
AMOSAN0059|W42902001||AMOXICILINA SANDOZ 500mg CAPSULE|CAPS.|500mg|SANDOZ SRL - ROMANIA|AMOXICILLINUM|Cutie x 1 blist. Al/PVC x 10 capsule (3 ani)|J01CA04|3.19|3.64|4.92|MG|generic|
AMOTER0018|W57394002||AMOXICILINA TERAPIA 1g|COMPR. PT. DISP. ORALA|1g|TERAPIA SA - ROMANIA|AMOXICILLINUM|Cutie x 3 blistere PVC-PVDC/Al x 7 comprimate pentru dispersie orala (2 ani)|J01CA04|12.6|14.36|19.41|MG|generic|
AMOAUR0039|W59180001||AMOXICILINA/ACID CLAVULANIC AUROBINDO 400mg/57mg/5ml|PULB. PT. SUSP. ORALA|400mg/57mg/5ml|AUROBINDO PHARMA (MALTA) LIMITED - MALTA|AMOXICILLINUM + ACIDUM CLAVULANICUM|Cutie x 1 flacon PEID cu capac PP prevazut cu sistem securizat pentru copii care cont. pulb. pt. susp. orala pt. obt. a 35ml susp. reconstituita + seringa polistiren cu radiatii la interva|J01CR02|4.2|4.79|6.47|MG|generic|
AMOAUR0013|W54971008||AMOXICILINA/ACID CLAVULANIC AUROBINDO 500mg/125mg|COMPR. FILM.|500mg/125mg|AUROBINDO PHARMA LIMITED - MAREA BRITANIE|AMOXICILLINUM + ACIDUM CLAVULANICUM|Cutie x blistere OPA-Al-PVC/Al x 14 comprimate filmate (2 ani)|J01CR02|6.46|7.36|9.95|MG|generic|
AMOAUR0021|W54972008||AMOXICILINA/ACID CLAVULANIC AUROBINDO 875mg/125mg|COMPR. FILM.|875mg/125mg|AUROBINDO PHARMA LIMITED - MAREA BRITANIE|AMOXICILLINUM + ACIDUM CLAVULANICUM|Cutie x blistere OPA-Al-PVC/Al x 14 comprimate filmate (2 ani)|J01CR02|11.11|12.67|17.12|MG|generic|
AMOANT0170|W59739002||AMOXIPLUS 1000mg/200mg|PULB. PT. SOL. INJ. / PERF.|1000mg/200mg|ANTIBIOTICE SA - ROMANIA|AMOXICILLINUM + ACIDUM CLAVULANICUM|Cutie x 50 flacoane din sticla incolora sigilate cu capse din Al, prevazute cu disc din material plastic care contine pulbere pentru solutie injectabila/perfuzabila (2 ani)|J01CR02|325.0|355.0|425.1|MG|generic|
AMOANT0154|W54453002||AMOXIPLUS 500/125mg|COMPR. FILM.|500/125mg|ANTIBIOTICE SA - ROMANIA|AMOXICILLINUM + ACIDUM CLAVULANICUM|Cutie x 2 blistere PA-Al-PVC/Al x 7 comprimate filmate (2 ani)|J01CR02|7.03|8.01|10.83|MG|generic|
AMOANT0162|W55401002||AMOXIPLUS 875mg/125mg|COMPR. FILM.|875mg/125mg|ANTIBIOTICE SA - ROMANIA|AMOXICILLINUM + ACIDUM CLAVULANICUM|Cutie x 2 blistere PA-Al-PVC/Al x 7 comprimate filmate (2 ani)|J01CR02|12.31|14.04|18.97|MG|generic|
AMPANT0195|W00430004||AMPICILINA 1g|PULB. PT. SOL. INJ.|1g|ANTIBIOTICE SA - ROMANIA|AMPICILLINUM|Cutie x 100 flacoane din sticla incolora continand pulbere pentru solutie injectabila (2 ani)|J01CA01|207.0|227.7|277.98|MG|generic|
AMPANT0179|W00431001||AMPICILINA 250mg|PULB. PT. SOL. INJ.|250mg|ANTIBIOTICE SA - ROMANIA|AMPICILLINUM|Cutie x 100 flacoane x 250mg pulbere pentru solutie injectabila (2 ani)|J01CA01|133.12|146.43|178.76|MG|generic|
